Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2022-01-03,325.0380554199219,328.1937646958434,320.2122465111482,325.62065382806765,28865100
2022-01-04,319.4645690917969,325.47498337685073,316.6584013250783,325.1156931532872,32674300
2022-01-05,307.2010803222656,316.6099531093686,306.8126911850702,316.4060243657828,40054300
2022-01-06,304.7735900878906,309.4537573925921,302.4529155197897,304.06475847821264,39646100
2022-01-07,304.9288635253906,307.31748401408174,301.0934517930375,305.0356579061824,32720000
2022-01-10,305.1522521972656,305.58920845555434,295.850204337967,300.5109328094982,44289500
2022-01-11,305.8417053222656,307.4243903248276,300.8993816643617,304.2881191321677,29386800
2022-01-12,309.0361633300781,314.0270530188489,307.88068590041127,310.3955694582875,34372200
2022-01-13,295.95697021484375,311.5704653903933,295.1801920885378,311.172356970201,45366000
2022-01-14,301.2003479003906,301.80235543631807,294.9374663908213,295.4229601626581,39846400
2022-01-18,293.8693542480469,300.8119087883123,292.9857520873315,295.2481695047707,42333200
2022-01-19,294.52960205078125,304.8026655825984,293.91790486518016,297.40374615872065,45933900
2022-01-20,292.8498229980469,302.6082350893692,292.4031770647772,300.10310048812516,35380700
2022-01-21,287.44140625,295.28697160618094,287.033578493321,293.9081860566442,57984400
2022-01-24,287.7716064453125,288.49012782739686,268.0411301926177,283.7226045197611,85731500
2022-01-25,280.1201477050781,286.43156585377636,276.89649203266447,283.06223836449163,72848600
2022-01-26,288.1016540527344,299.5496034339811,284.5284276453755,299.05439039333135,90428900
2022-01-27,291.140869140625,298.38442711334307,289.28627958272745,293.8790608207995,53481300
2022-01-28,299.3166198730469,299.5302383109327,285.907284705517,291.519591338495,49743700
2022-01-31,301.9577331542969,303.3171098617305,297.4814649297381,299.9866295204706,46444500
2022-02-01,299.80206298828125,301.61780458751355,296.27737417462686,301.40418618571084,40950400
2022-02-02,304.3657531738281,305.9775960841271,299.9186431738477,300.6468838460328,36636000
2022-02-03,292.5100402832031,302.20050805295466,291.25745787178147,300.5109693301416,43730000
2022-02-04,297.06390380859375,299.8409137013529,291.26710752758504,291.5001350340584,35096500
2022-02-07,292.21868896484375,298.90877717897297,291.1991343489562,297.28724470910936,28533300
2022-02-08,295.72393798828125,296.694925446775,291.2477000280742,292.5099718712418,32421200
2022-02-09,302.1810302734375,302.88014250197796,298.47188031442045,300.8799104988018,31284700
2022-02-10,293.607177734375,300.1516233945271,291.97592599753574,295.21902039060336,45386200
2022-02-11,286.4801025390625,295.4617351032537,285.6838858378648,294.393643142157,39175600
2022-02-14,286.44134521484375,288.1502928923247,282.8972463615049,285.24701978585097,36359500
2022-02-15,291.7525939941406,292.0730068075683,288.40267551101897,291.30594807378594,27058300
2022-02-16,291.4120788574219,292.7450776057495,285.7492393471848,290.3125894683754,29982100
2022-02-17,282.8789367675781,288.78499572393093,282.1686395026327,288.356875412657,32461600
2022-02-18,280.154541015625,285.9243962532494,278.57829331636475,285.1362724036193,34264000
2022-02-22,279.95013427734375,283.66698245897277,276.8170890587822,277.30358657909636,41736100
2022-02-23,272.7013244628906,283.8226809607446,272.53593192514944,282.34370941320185,37811200
2022-02-24,286.6346435546875,287.18925792799297,264.1876378573289,265.1509232671374,56989700
2022-02-25,289.2812194824219,289.5925850932438,283.7740627265268,287.169836388477,32546700
2022-02-28,290.7212829589844,291.0618372631697,285.08763168422934,286.36225319102664,34627500
2022-03-01,286.9848937988281,291.86931812273247,284.26048991942423,288.3957187655546,31217800
2022-03-02,292.08343505859375,293.3288677421849,285.76870563477496,287.3838515564128,31873000
2022-03-03,287.92877197265625,294.9440595212997,286.1092458840399,294.71055015953465,27314500
2022-03-04,282.0323486328125,287.6757380929094,279.41501910209644,286.34273954173915,32356500
2022-03-07,271.3780822753906,281.86696885975545,271.0083393654953,280.7382909166113,43157200
2022-03-08,268.4007263183594,276.29170297461434,262.7086985771629,270.2980491031206,48159500
2022-03-09,280.7090759277344,281.7793764366867,273.1975528468867,275.78572328000666,35204500
2022-03-10,277.87774658203125,278.8604814162222,273.0030302338482,275.37714133286033,30628000
2022-03-11,272.5067138671875,281.6917889446051,271.8839828209792,280.18362889463543,27209300
2022-03-14,268.97479248046875,277.69282106161535,268.3715402141121,272.7694677796933,30660700
2022-03-15,279.3955993652344,280.04751929281093,271.2029954236296,272.77924308637034,34245100
2022-03-16,286.4400939941406,286.6152260176592,275.5522744635128,281.3026504232545,37826300
2022-03-17,287.2477111816406,287.62716395761555,281.555681994305,285.3698371337334,30816600
2022-03-18,292.31695556640625,292.87156998483414,284.8249099642647,287.3936019813405,43390600
2022-03-21,291.08123779296875,292.03478374650234,286.93626887864554,290.8185397874597,28351200
2022-03-22,295.8489074707031,296.7635253012063,290.70175473409813,291.70393856622957,27599700
2022-03-23,291.40228271484375,295.041304451988,289.6800921382554,292.39475668563443,25715400
2022-03-24,295.8878173828125,295.9851228320078,290.26390686339175,291.0617699759575,24484500
2022-03-25,295.47918701171875,297.25004547288074,291.2077533537051,296.9873474480325,22566500
2022-03-28,302.3096618652344,302.40693764377346,296.11165665100964,296.11165665100964,29578200
2022-03-29,306.8924255371094,307.29135714004815,300.7041605046977,305.4329327088514,30393400
2022-03-30,305.3842468261719,307.41783284188796,303.1658190479374,305.2869710648851,28163600
2022-03-31,299.984130859375,306.6297043298301,299.5754895267012,305.42317015815905,33422100
2022-04-01,301.0642395019531,301.75505789830714,297.2890127272939,301.01557191752914,27110500
2022-04-04,306.46429443359375,306.6004983188192,301.3463302614867,301.7160731825303,24289600
2022-04-05,302.4847717285156,306.3670133210519,301.5020370122259,304.8102149635358,23156700
2022-04-06,291.4120788574219,298.70954326954427,288.6974137819439,296.9484242335621,40110400
2022-04-07,293.2315673828125,295.4499953169675,288.3471420233765,288.648768168859,31411200
2022-04-08,288.9503479003906,292.98827151302675,288.2789789248142,292.3266419900815,24361900
2022-04-11,277.5566101074219,284.7081008112232,277.303621862764,283.9102673434165,34569300
2022-04-12,274.4430236816406,282.888614889522,272.9154140915164,281.42912208981386,30966700
2022-04-13,279.8529052734375,280.7869724534047,273.7035678106113,275.09497366578125,21907200
2022-04-14,272.273193359375,280.5242021209892,271.77698607253774,280.3101420210065,28221600
2022-04-18,272.94464111328125,274.8322544416231,270.82351840608015,271.378132874332,20778000
2022-04-19,277.59552001953125,278.4420507901121,270.8915984998425,271.8354050361262,22297700
2022-04-20,278.62689208984375,281.8767221982416,277.66363634073986,281.58480582125515,22906700
2022-04-21,273.2267761230469,285.3794765084188,272.4970297326979,280.78693803741777,29454600
2022-04-22,266.6298828125,275.5522621743124,265.99744184902704,274.07329041466824,29405800
2022-04-25,273.13922119140625,273.5186738891718,263.4579068096184,265.9098737843962,35678900
2022-04-26,262.9228210449219,270.842988246751,262.7087608668474,270.006226446482,46518400
2022-04-27,275.57171630859375,283.11242950747317,271.6213579631091,274.4819663779026,63477700
2022-04-28,281.80859375,283.1221431584585,273.85921020488007,277.48849285173316,33646600
2022-04-29,270.0256042480469,282.051839783159,269.03315988134744,280.81611693468443,37073900
2022-05-02,276.7879333496094,277.2452422608899,268.7607233087072,270.21047658994615,35151100
